[2025-08-07 19:29:51,378 ] 20 root - Initiate the data ingestion
[2025-08-07 19:29:54,951 ] 65 root - Performed train test split on the dataframe
[2025-08-07 19:29:54,951 ] 67 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 19:29:54,951 ] 75 root - Exporting train and test file path.
[2025-08-07 19:29:54,998 ] 84 root - Exported train and test file path.
[2025-08-07 19:29:54,998 ] 22 root - Data Initiation Completed
[2025-08-07 19:29:55,072 ] 26 root - Initiate the data Validation
[2025-08-07 19:29:55,154 ] 32 root - Required number of columns:2
[2025-08-07 19:29:55,154 ] 33 root - Data frame has columns:31
[2025-08-07 19:29:55,154 ] 32 root - Required number of columns:2
[2025-08-07 19:29:55,154 ] 33 root - Data frame has columns:31
[2025-08-07 19:29:55,268 ] 28 root - Data Validation Completed
[2025-08-07 19:29:55,268 ] 32 root - data Transformation started
[2025-08-07 19:29:55,268 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 19:29:55,268 ] 65 root - Starting data transformation
[2025-08-07 19:29:55,284 ] 48 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 19:29:55,284 ] 53 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 19:29:55,301 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:29:55,306 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:29:55,306 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:29:55,307 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:29:55,307 ] 36 root - data Transformation completed
[2025-08-07 19:29:55,307 ] 45 root - Model Training sstared
