[2025-08-07 11:36:04,254 ] 20 root - Initiate the data ingestion
[2025-08-07 11:36:07,586 ] 65 root - Performed train test split on the dataframe
[2025-08-07 11:36:07,586 ] 68 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 11:36:07,587 ] 75 root - Exporting train and test file path.
[2025-08-07 11:36:07,689 ] 84 root - Exported train and test file path.
[2025-08-07 11:36:07,691 ] 22 root - Data Initiation Completed
[2025-08-07 11:36:07,741 ] 26 root - Initiate the data Validation
[2025-08-07 11:36:07,853 ] 32 root - Required number of columns:2
[2025-08-07 11:36:07,854 ] 33 root - Data frame has columns:31
[2025-08-07 11:36:07,854 ] 32 root - Required number of columns:2
[2025-08-07 11:36:07,855 ] 33 root - Data frame has columns:31
[2025-08-07 11:36:13,966 ] 28 root - Data Validation Completed
[2025-08-07 11:36:13,966 ] 32 root - data Transformation started
[2025-08-07 11:36:13,966 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 11:36:13,967 ] 65 root - Starting data transformation
[2025-08-07 11:36:14,022 ] 49 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 11:36:14,022 ] 54 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 11:36:14,049 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 11:36:14,055 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 11:36:14,056 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 11:36:14,063 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 11:36:14,066 ] 36 root - data Transformation completed
[2025-08-07 11:36:14,066 ] 45 root - Model Training sstared
[2025-08-07 11:43:28,103 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 11:43:28,104 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 11:43:28,106 ] 170 root - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_07_2025_11_36_03\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908592321755026, precision_score=0.9878493317132442, recall_score=0.9938875305623472), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9769475357710652, precision_score=0.9700078926598263, recall_score=0.9839871897518014))
[2025-08-07 11:43:28,110 ] 50 root - Model Training artifact created
