[2025-08-07 19:55:54,543 ] 20 root - Initiate the data ingestion
[2025-08-07 19:55:57,836 ] 65 root - Performed train test split on the dataframe
[2025-08-07 19:55:57,836 ] 67 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 19:55:57,836 ] 75 root - Exporting train and test file path.
[2025-08-07 19:55:57,873 ] 84 root - Exported train and test file path.
[2025-08-07 19:55:57,873 ] 22 root - Data Initiation Completed
[2025-08-07 19:55:57,918 ] 26 root - Initiate the data Validation
[2025-08-07 19:55:57,989 ] 32 root - Required number of columns:2
[2025-08-07 19:55:57,990 ] 33 root - Data frame has columns:31
[2025-08-07 19:55:57,990 ] 32 root - Required number of columns:2
[2025-08-07 19:55:57,991 ] 33 root - Data frame has columns:31
[2025-08-07 19:55:58,109 ] 28 root - Data Validation Completed
[2025-08-07 19:55:58,109 ] 32 root - data Transformation started
[2025-08-07 19:55:58,109 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 19:55:58,110 ] 65 root - Starting data transformation
[2025-08-07 19:55:58,127 ] 48 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 19:55:58,127 ] 53 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 19:55:58,141 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:55:58,146 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:55:58,146 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:55:58,148 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:55:58,149 ] 36 root - data Transformation completed
[2025-08-07 19:55:58,149 ] 45 root - Model Training sstared
[2025-08-07 19:58:28,247 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:58:28,282 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:58:28,282 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:58:28,362 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:58:28,362 ] 116 root - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_07_2025_19_55_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912619386303597, precision_score=0.989251673088623, recall_score=0.9932803909590715), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9717018732562774, precision_score=0.9651623119556612, recall_score=0.978330658105939))
[2025-08-07 19:58:28,365 ] 50 root - Model Training artifact created
