[2025-08-07 22:13:57,127 ] 20 root - Initiate the data ingestion
[2025-08-07 22:14:06,599 ] 65 root - Performed train test split on the dataframe
[2025-08-07 22:14:06,599 ] 67 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 22:14:06,599 ] 75 root - Exporting train and test file path.
[2025-08-07 22:14:06,652 ] 84 root - Exported train and test file path.
[2025-08-07 22:14:06,653 ] 22 root - Data Initiation Completed
[2025-08-07 22:14:06,662 ] 26 root - Initiate the data Validation
[2025-08-07 22:14:06,742 ] 32 root - Required number of columns:2
[2025-08-07 22:14:06,743 ] 33 root - Data frame has columns:31
[2025-08-07 22:14:06,743 ] 32 root - Required number of columns:2
[2025-08-07 22:14:06,743 ] 33 root - Data frame has columns:31
[2025-08-07 22:14:06,869 ] 28 root - Data Validation Completed
[2025-08-07 22:14:06,870 ] 32 root - data Transformation started
[2025-08-07 22:14:06,870 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 22:14:06,870 ] 65 root - Starting data transformation
[2025-08-07 22:14:06,899 ] 48 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 22:14:06,899 ] 53 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 22:14:06,914 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 22:14:06,916 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 22:14:06,917 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 22:14:06,919 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 22:14:06,924 ] 36 root - data Transformation completed
[2025-08-07 22:14:06,924 ] 45 root - Model Training sstared
[2025-08-07 22:20:55,181 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 22:20:55,188 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 22:20:55,188 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 22:20:55,201 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 22:20:55,201 ] 116 root - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_07_2025_22_13_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9902458849827271, precision_score=0.9904471544715447, recall_score=0.9900446972775294), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.974025974025974, precision_score=0.9764035801464606, recall_score=0.97165991902834))
[2025-08-07 22:20:55,201 ] 50 root - Model Training artifact created
