[2025-08-07 19:36:28,217 ] 20 root - Initiate the data ingestion
[2025-08-07 19:36:31,434 ] 65 root - Performed train test split on the dataframe
[2025-08-07 19:36:31,434 ] 67 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 19:36:31,434 ] 75 root - Exporting train and test file path.
[2025-08-07 19:36:31,474 ] 84 root - Exported train and test file path.
[2025-08-07 19:36:31,475 ] 22 root - Data Initiation Completed
[2025-08-07 19:36:31,527 ] 26 root - Initiate the data Validation
[2025-08-07 19:36:31,601 ] 32 root - Required number of columns:2
[2025-08-07 19:36:31,601 ] 33 root - Data frame has columns:31
[2025-08-07 19:36:31,603 ] 32 root - Required number of columns:2
[2025-08-07 19:36:31,603 ] 33 root - Data frame has columns:31
[2025-08-07 19:36:31,708 ] 28 root - Data Validation Completed
[2025-08-07 19:36:31,709 ] 32 root - data Transformation started
[2025-08-07 19:36:31,709 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 19:36:31,709 ] 65 root - Starting data transformation
[2025-08-07 19:36:31,726 ] 48 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 19:36:31,726 ] 53 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 19:36:31,738 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:36:31,741 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:36:31,742 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 19:36:31,744 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 19:36:31,745 ] 36 root - data Transformation completed
[2025-08-07 19:36:31,745 ] 45 root - Model Training sstared
