[2025-08-07 10:25:12,659 ] 20 root - Initiate the data ingestion
[2025-08-07 10:25:16,953 ] 65 root - Performed train test split on the dataframe
[2025-08-07 10:25:16,954 ] 68 root - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-07 10:25:16,954 ] 75 root - Exporting train and test file path.
[2025-08-07 10:25:17,062 ] 84 root - Exported train and test file path.
[2025-08-07 10:25:17,062 ] 22 root - Data Initiation Completed
[2025-08-07 10:25:17,077 ] 26 root - Initiate the data Validation
[2025-08-07 10:25:17,327 ] 32 root - Required number of columns:2
[2025-08-07 10:25:17,327 ] 33 root - Data frame has columns:31
[2025-08-07 10:25:17,328 ] 32 root - Required number of columns:2
[2025-08-07 10:25:17,329 ] 33 root - Data frame has columns:31
[2025-08-07 10:25:23,294 ] 28 root - Data Validation Completed
[2025-08-07 10:25:23,295 ] 32 root - data Transformation started
[2025-08-07 10:25:23,295 ] 63 root - Entered initiate_data_transformation method of DataTransformation class
[2025-08-07 10:25:23,295 ] 65 root - Starting data transformation
[2025-08-07 10:25:23,349 ] 49 root - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-07 10:25:23,349 ] 54 root - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-07 10:25:23,376 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 10:25:23,383 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 10:25:23,383 ] 46 root - Entered the save_object method of MainUtils class
[2025-08-07 10:25:23,389 ] 50 root - Exited the save_object method of MainUtils class
[2025-08-07 10:25:23,391 ] 36 root - data Transformation completed
